{'intent': 'wine_details', 'slots': {'flavor': 'None', 'grape': 'None', 'color': 'None', 'sparkling': 'None', 'abv': 'None', 'year': 'None', 'typology': 'None'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2019', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2020', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2021', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2019', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2020', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2021', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2019', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2020', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2021', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2019', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2020', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2021', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2019', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2020', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2021', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2019', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2020', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2021', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2019', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2020', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2021', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2019', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2020', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2021', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2019', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2020', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '2021', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'yes', 'abv': '', 'year': '', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': 'Prosecco'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2019', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2020', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '2021', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': 'no', 'abv': '', 'year': '', 'typology': ''}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2019', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2020', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2021', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2019', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2020', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2021', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2019', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2020', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2021', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2019', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2020', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2021', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '', 'typology': 'Primitivo'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2019', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2020', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2021', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Chardonnay', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2019', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2020', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2021', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Pinot Noir', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2019', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2020', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2021', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': 'Valdobbiadene', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2019', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2020', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '2021', 'typology': 'Champagne'}}
{'intent': 'wine_details', 'slots': {'flavor': None, 'grape': '', 'color': 'white', 'sparkling': '', 'abv': '', 'year': '', 'typology': 'Champagne'}}
