Ids,Title,Description,Typology,Price,Capacity,Grape,Secondary grape,Closure,Country,Flavor,Color,Abv,Region,Style,Vintage,Food
11,Louis Latour Mâcon-Lugny,"We’ve sold this wine for thirty years – and for that whole time it’s been a bestseller. Why’s it so popular? White Burgundy is a go-to for Chardonnay drinkers, and the Mâconnais in particular offers great value. Unlike the northern Côtes, the southern part of Burgundy doesn’t have a formalised vineyard hierarchy system. So the wines tend to be a bit more wallet-friendly. Not to mention, Lugny is one of the best regarded villages in the Mâcon, and Latour one of the most famous houses. Honeyed. Peachy. Crisp. A dream with salty finger foods or a classic Sunday roast chicken. It’s proof that sometimes it pays to stick with the old favourites.",Macon,21.8,75CL,Chardonnay,,Natural Cork,France,"Peach, Apricot, Floral, Lemon",White,13.50%,Burgundy,Ripe & Rounded,2022,"aperitif, fish, cheese"
12,Louis Roederer 'Cristal' Champagne,"Cristal is Louis Roederer’s flagship wine. It was first made in 1876, when Tsar Alexander II asked the house to reserve their best cuvee for him every year. But he had another request. Fearful of an assassination attempt, he asked that it be produced in a clear bottle with no indent, called a ‘punt’, in the bottom. And an icon was born. It’s made from seven Grand Crus and only in the best years, when low-yielding Pinot Noir and Chardonnay vines produce perfectly ripe grapes. Rich and velvety, it has intense and complex notes of ripe citrus, golden apple and almond pastry with an incredibly long and elegant finish.",Champagne ,363.0,75CL,Chardonnay,,Natural Cork,France,"Lemon, Orange, White flowers, Roasted nuts",White,12.00%,Champagne,Aromatic & Floral,2015,fish
13,Bouvet Ladubay Saumur Brut,"The Loire Valley’s Saumur Brut is the go-to appellation if you like premium sparkling wine – but not the high price tag. And this one is hands down our most popular bottle. Over its rich history, Bouvet Ladubay has been endorsed by Napoleon III and chosen as official supplier to the House of Lords. They specialise in bringing out the floral notes of Chenin Blanc, and it certainly shows in this lively, zesty fizz. Expect notes of honeysuckle, apple and lime, with a crisp, fresh finish. In 2022, this wine won an IWC award",Saumur,17.0,75CL,Chenin Blanc,,Natural Cork,France,"Honeysuckle, Citrus Fruit",White,12.50%,Loire,Rich & Toasty,NV,"aperitif, white meat"
14,Moët & Chandon 'Brut Impérial' Champagne,"Moët is the ultimate celebratory fizz. The house is credited with inventing the Champagne glass pyramid. The victorious ‘spray’ of Champagne familiar to sport podiums is also down to them. But not only does their famous label put you in a party mood – it’s also a fantastic wine. It’s crisp and refreshing, but rich and ripe and full of stone fruit flavours. Think peach and lemon zest. With aromas of biscuit and brioche, it’s as decadent as it is moreish. In 2022, this wine won an IWC award.",Champagne ,56.99,75CL,Chardonnay,"Pinot Noir, Pinot Meunier",Natural Cork,France,"Citrus Fruit, Biscuit, Bread",White,12.00%,Champagne,Crisp & Fruity,NV,fish
15,Taittinger Brut Réserve Champagne,"The first time Pierre Taittinger visited Champagne was as an injured officer during WWI. He promised himself that he would return and buy an estate for his family. In 1932 he did just that. The sale included some of the original vineyards which had been planted by Benedictine monks in the 1730s. And the rest is history. This is a classic Champagne, full of honeysuckle, brioche and pear flavours. Taittinger was Bond’s Champagne of choice in the original novels, so try it with something equally sophisticated. We suggest cheese gougères, fresh from the oven.",Champagne ,55.7,75CL,Chardonnay,,Natural Cork,France,"Peach, Green Apple, Lemon, Walnut",White,12.50%,Champagne,Crisp & Fruity,NV,"aperitif, fish"
16,Laurent-Perrier 'La Cuvée' Brut Champagne,"Laurent-Perrier began in 1812, but this Champagne house isn't one to stick to traditions. The winemaking team recently tore up the recipe for their non-vintage cuvée. The old wine was already one of the best-selling Champagnes in the world – but they knew they could create something even better. They weren’t wrong. La Cuvée was released in 2017. It's a uniquely fresh fizz made predominantly from Chardonnay – and it remains a popular choice for discerning Champagne fans. It's a superb marriage of white blossom, citrus and peach, with delicate toasty notes and a light mousse.",Champagne ,60.6,75CL,Chardonnay,"Pinot Noir, Pinot Meunier",Natural Cork,France,"Green Apple, Biscuit, Bread, Citrus Fruit",White,12.00%,Champagne,Crisp & Fruity,NV,"aperitif, fish, poultry"
17,Heidsieck & Co. Monopole 'Gold Top' Champagne,"Heidsieck & Co. are one of only 24 Grand Marque Champagne houses. You can always rely on these highly esteemed houses for quality, but Heidsieck stands out for combining quality with incredible value. Gold Top is their most decadent cuvée. The wine is aged for up to a decade before it's released, so such a lengthy process results in seriously luxurious bubbles. The long ageing means the rich, toasty, creamy flavours are dialled right up. It’s aromatic and citrusy, with a lush texture and a lingering finish.",Champagne ,41.2,75CL,Chardonnay,Pinot Noir,Natural Cork,France,"Pear, Biscuit, Cream, Green Apple, Lemon, Quince, Red Apple",White,12.50%,Champagne,Rich & Toasty,2018,"fish, mashroom"
18,Cave de Lugny 'Reserve' Mâcon-Chardonnay,"The small village of Mâcon-Chardonnay isn’t coincidentally named. It claims to be the birthplace of Chardonnay and made a name for itself in the 19th century for producing high-quality wines. Cave de Lugny is a true specialist – it’s the biggest Chardonnay producer in Burgundy, but it doesn’t rest on its laurels. They prove that classic white Burgundy doesn’t have to be expensive. The wine is rested on its lees which intensifies the flavours and gives it a delicious creaminess. Discover ripe fruit flavours. Peach. Apricot. Apple. And plenty of citrusy freshness. It’s fantastic with soft, creamy cheese.",Macon,19.4,75CL,Chardonnay,,Screwcap,France,"Peach, Apricot, Floral, Honey, Lemon",White,13.00%,Burgundy,Ripe & Rounded,2022,"first course, cheese, cold cuts"
19,Chanoine Frères 'Réserve Privée' Brut Champagne,"Chanoine Frères is the second-oldest Champagne house. It was established way back in 1730, so it has spent nearly three centuries perfecting its craft. For the last two decades it has championed diversity in this traditional region, putting winemaker Isabelle Tellier at the helm – one of the first female Chefs de Caves in Champagne. Her 20 years of experience shows in this delicious brut. Made primarily from Pinot Noir grapes, it's well-structured and beautifully aromatic. Expect fine bubbles with notes of stone fruits, spice, fig and Golden Delicious apple.",Champagne ,55.7,75CL,Pinot Noir,,Natural Cork,France,"Bread, Citrus Fruit",White,12.50%,Champagne,Rich & Toasty,NV,"fish, cheese, pork"
20,Lanson 'Le Black Creation' Brut Champagne,"With over 260 years of winemaking history, Lanson is one of the oldest houses in Champagne. Their much-loved signature cuvée, Le Black Label, was created in 1937 in honour of the house’s appointment as the official suppliers of the Royal Court of England. And now, with Le Black Création, winemaker Hervé Dantan has redefined it. Each Création is unique, made with the best grapes from over 100 crus and reserve wines dating back over a decade. And each blend carries its own number – in reference to the number of harvests that have taken place since Maison Lanson was founded in 1760. This, the 257th blend, predominantly uses wine from the 2017 vintage, which produced Chardonnay with marked freshness, intensely fruity Pinot Noir, and notably supple Pinot Meunier. It's then aged for four years before release to dial up the complexity. You’ll find it rich yet elegant with ripe citrus and orchard-fruit flavours, plus notes of brioche and dried fruits.",Champagne ,52.0,75CL,Pinot Noir,"Pinot Meunier, Chardonnay",Natural Cork,France,"Honey, Bread, Citrus Fruit",White,12.50%,Champagne,Crisp & Fruity,NV,fish
21,Beato Bartolomeo ‘Naturae' Pinot Noir,"Pinot Noir isn’t often associated with Italy – but this famously finicky grape variety thrives in the country’s north east. In fact, it’s been grown in the Veneto region for centuries, and is even known locally as Pinot Nero. This exclusive bottling is made by Beato Bartolomeo, a cooperative based in Breganze DOC in the Alpine foothills. They’ve been making high quality wines since 1950, so they know just how to get the best out of their grapes. Cool Alpine influences keep the Pinot Noir’s flavours bright and fresh, so the team leaves the wine unoaked to let those flavours take centre stage. Discover juicy notes of strawberry and raspberry, plus soft, elegant tannins that’ll pair perfectly with charcuterie.",Ripasso,14.5,75CL,Pinot Noir,,Screwcap,Italy,"Raspberry, Red Fruit, Strawberry",Red,12.00%,Veneto,Light & Elegant,2021,"red meat, poultry, game"
22,Piccini ‘Histrio’ Organic Anfora Toscana Rosso,"Piccini are one of Italy’s most dynamic and innovative producers. Now in their fourth generation of family ownership, they have over 140 years of expertise behind them. Their roots lie in Tuscany – and today they’re considered one of the region’s leading wineries. This vibrant blend combines two classic Tuscan grape varieties, Sangiovese and Malvasia Nera. It spends 12 weeks maturing in special clay amphorae, which gives it an elegant texture while still allowing the fruit flavours to take centre stage. Expect delicate floral aromas alongside fresh cherry and red-berry flavours. Its soft tannins and long, fruity finish make it the perfect pairing for red meats or aged cheeses.",,15.75,75CL,Sangiovese,Malvasia Nera,Natural Cork,Italy,"Floral, Red Cherry, Red Fruit",Red,13.50%,Tuscany,Soft & Fruity,2020,"red meat, cheese"
23,Domini Veneti 'La Casetta' Valpolicella Ripasso DOC Superiore,"This is Valpolicella Ripasso with a difference. Ripasso wines are made by adding the leftover grape skins from Amarone production to standard Valpolicella, giving greater depth of flavour, texture and tannin. But Domini Veneti’s winemakers go a step further to make La Casetta. They re-ferment the wine with skins leftover from making Recioto – an intensely rich dessert wine – which pushes it into another dimension of flavour. Consider this an exceptional value ‘Baby Amarone’. It’s intense and spicy with rich, heady aromas. Expect notes of plum, cherry, chocolate and dried fruits. The silky texture and elegant tannins match perfectly with game dishes or roasted mushrooms.","Valpolicella, Ripasso",23.0,75CL,Corvina,"Rondinella, Corvinone",Natural Cork,Italy,"Vanilla, Fig, Red Cherry, Red Plum, Sweet Spice",Red,14.50%,Veneto,Rich & Juicy,2019,"first course, red meat, game, cheese"
24,"Pasqua 'Desire, Lush & Zin' Primitivo","Love big, bold reds? If so, you’ve likely tried Californian Zinfandel or Italian Primitivo. These sibling grapes may be genetically identical, but each has its own distinct character. And this velvety bottling combines the best of both. It’s a classic, earthy Primitivo with a modern twist inspired by the smooth, plush character of Zinfandel. The grapes are macerated in their own juice before fermentation, which dials up the delicious fruity flavour. And six months of oak ageing gives it extra complexity and a silky texture. Discover notes of cherry, plum, coffee and cocoa, plus hints of black pepper and vanilla spice. It’s the perfect partner for rich tomato-based dishes.",,15.75,75CL,Primitivo,,Natural Cork,Italy,"Vanilla, Black Fruit, Black Plum",Red,13.50%,Puglia,Rich & Juicy,2022,"first course, red meat, poultry"
25,Primo Rosso Appassimento,"In the heel of Italy's boot, you’ll find Puglia – the home of Primitivo. But this particular bottling is anything but ordinary for the region. It’s made using the appassimento method, which has been a distinctly northern Italian style of winemaking for centuries. Primo’s winemaker, Alessandro Michelon, was the first outside of Veneto to adopt the method. He realised that Puglia’s sun-drenched, windswept vineyards offer an ideal climate for the process; once grapes are ripe, his team move through the vines, twisting the stem of every other bunch. This stops them from ripening further and allows them to dry in the wind, resulting in a concentrated and complex wine. Just like a Valpolicella, it’s big, plush and velvety, with ripe flavours of cherry, raspberry and redcurrant. A rich, meaty stew makes the perfect partner to its bold, fruity character.",,14.5,75CL,Primitivo,,Screwcap,Italy,"Vanilla, Black Fruit, Black Plum",Red,14.50%,Puglia,Rich & Juicy,2022,"first course, red meat"
26,Agostina Pieri Brunello di Montalcino DOCG,"Brunello di Montalcino is one of Italy's finest red wines. And this is made by Agostina Pieri: a small family winery that consistently provides great value in an otherwise expensive region. It's full-bodied and silky, with flavours of red and black fruits, basil and mint. Decant this for at least an hour and serve at room temperature with a hearty sirloin steak. Or if you can wait, it will develop for another seven years.",Brunello Di Montalcino,44.8,75CL,Sangiovese,,Natural Cork,Italy,"Spice, Black Fruit, Herbaceous",Red,15.50%,Tuscany,Savoury & Full Bodied,2018,"red meat, game, poultry"
27,Piccini Brunello di Montalcino DOCG,"Piccini are one of Italy’s most dynamic and innovative producers. Now in their fourth generation of family ownership, they have over 140 years of expertise behind them. Their roots lie in Tuscany – and today they’re considered one of the region’s leading wineries. So you can expect great things from this. A Tuscan icon, Brunello di Montalcino is one of the finest expressions of the Sangiovese grape, famed for its bold, complex and full-bodied character. Piccini capture all those qualities here – and the stunning 2018 vintage won them a gold medal at The Drinks Business's 2023 Global Sangiovese Masters awards. Discover intense flavours of black cherry, blueberry, spice and liquorice, with silk-smooth tannins and a long, elegant finish. Its excellent structure makes it a fantastic pairing for rich game meats or mature cheeses.",Brunello Di Montalcino,42.4,75CL,Sangiovese,,Natural Cork,Italy,"Black Cherry, Blackcurrant, Liquorice, Spice",Red,14.00%,Tuscany,Savoury & Full Bodied,2018,"red meat, game, poultry"
28,Torre Mora ‘Cauru’ Etna Rosso DOC,"Mount Etna is an iconic feature of the Sicilian landscape. It’s one of the world’s most active volcanoes and has been a UNESCO World Heritage Site since 2013. Its highly fertile soils make it a prime spot for agriculture – and it’s here that Torre Mora grow their grapes. They make this wine from two local varieties, Nerello Mascalese and Nerello Cappuccio. Its name, ‘Cauru’, means ‘hot’ in Sicilian – a reference to the heat and energy contained in the volcanic soils. This heat makes for intense, ripe flavours, but the wine is also remarkably fresh thanks to the region’s drastically cooler nighttime temperatures, which help retain the grapes’ natural acidity. Discover vibrant notes of raspberry and violet, with jammy cherry flavours and fine, silky tannins. You can also expect a distinct savoury character that makes this an ideal accompaniment to richer poultry, mushroom-based dishes and mature cheeses.",Etna,21.8,75CL,Nerello Mascalese,Nerello Cappuccio,Natural Cork,Italy,"Citrus Fruit, Date, Raspberry, Red Cherry, Violet, Pomegranate",Red,13.00%,Sicily,Smooth & Mellow,2021,"red meat, game"
29,Nero Oro Riserva,"Revered winemaker Stefano Chioccioli is the brains behind one of our most-loved reds, the Nero Oro. But if you spend just a little extra, you can unlock Stefano’s full arsenal of winemaking tricks with the Nero Oro Riserva. Taken from his best vineyards and aged for 18 months in oak, it’s closer to a rich Amarone than its island home would suggest. Expect bold damson, blackcurrant and dried-fig notes, with a rich oak spice. The plush fruity flavours make it a delicious pairing for juicy beef burgers.",,18.18,75CL,Nero D'Avola,Syrah,Natural Cork,Italy,"Vanilla, Black Plum, Blackberry, Cedar, Fig, Sweet Spice",Red,14.00%,Sicily,Rich & Juicy,2019,"first course, red meat"
30,Pasqua 'PassioneSentimento' Passimento Rosso,"This is one of our most popular Italian reds. It’s fantastically plush and full of flavour – all thanks to the ‘appassimento’ style of winemaking. This means the grapes are picked at the peak of their ripeness and left to dry in special crates until they’ve lost 30% of their volume. It concentrates all the sugars and flavours in the grapes, making the texture seriously lush and velvety. With this intensity you won’t believe the price. Think stewed plum, blackberry and juicy cherry flavour, with notes of violet and heady sweet spice. It’s fantastic with meat ragù piled over pasta.",,15.75,75CL,Merlot,"Croatina, Corvina",Natural Cork,Italy,"Vanilla, Black Fruit, Sweet Spice",Red,14.00%,Veneto,Rich & Juicy,2021,"first course, red meat, game"
31,Château Recougne Bordeaux Supérieur,"Legend has it that during a stay at Château Recougne in the 16th century, Henri IV was so impressed by the quality of the wine he declared the château’s land ‘terra recognita’ – recognised land. The wax seal you see on the label was a symbol of the extremely coveted designation. The old Bordeaux variety Carménère is used in the blend – and the end result is fit for a king. Expect food-friendly notes of cherry, cedar wood and earthiness, with fine-grain tannins. Enjoy with roast lamb.",Bordeaux Supérieur,15.75,75CL,Merlot,"Cabernet Sauvignon, Cabernet Franc, Carménère",Natural Cork,France,"Smoke, Blackberry, Red Plum",Red,14.50%,Bordeaux,Savoury & Full Bodied,2020,"red meat, game, poultry"
32,Olivier Dubois 'Cuvée Prestige' Pinot Noir,"We challenged our buyers to find French Pinot Noir which offers unbeatable value. They looked to the Loire. For Pinot lovers, this region is a real insider secret. It’s best known for its whites, but it’s also a great source of underrated Pinot Noir. Here, the Pinots tend to boast vibrant fruit flavours. And we’re lucky enough to have the UK exclusive on this one. It’s seriously juicy and fruity – think redcurrant and cherry with a sweetly spiced edge. An ideal partner for salads and charcuterie, it will also benefit from being lightly chilled.",Pinot,12.1,75CL,Pinot Noir,,Screwcap,France,"Strawberry, Cranberry, Red Cherry",Red,12.50%,Touraine,Light & Elegant,2022,"first course, red meat, game"
33,"Château Fontesteau , Haut-Médoc","If you’re after great quality claret at excellent value, look for Cru Bourgeois on the label. Château Fontesteau have held this prestigious classification since 1874, so they’re certainly a name you can trust. This mature blend of classic Bordeaux grapes spends 12 months in oak barrels, making it supple, full-bodied and elegant – qualities that have earned the 2014 vintage an impressive 92-point score from Decanter. Discover rich blackcurrant, plum and cassis flavours with subtle notes of spice, toasty oak and tobacco. Its savoury character and smooth tannins make it an excellent match with red meats and game.",Haut-Médoc,20.6,75CL,Cabernet Sauvignon,Merlot,Natural Cork,France,"Blackcurrant, Mint, Savoury",Red,13.00%,Bordeaux,Savoury & Full Bodied,2014,"red meat, game"
34,Maison Chanzy 'En Rosey' Rully Rouge,"Maison Chanzy are renowned for crafting authentic Burgundy wines that capture the unique qualities of the region’s different terroirs. Each of their vineyard plots is harvested, vinified and aged separately to preserve their individual character. And all that attention to detail results in exceptional wines. This is a case in point. It hails from Rully, a village in the northern part of the Côte Chalonnaise – just south of the premium Côte de Beaune region. Made exclusively from Pinot Noir, it’s a fruit-forward, structured red that punches way above its price tag. Expect bright flavours of redcurrant, cherry and blackcurrant with touches of liquorice and spice. Its firm tannins and balancing acidity make it an excellent match for poultry.",Rully,29.83,75CL,Pinot Noir,,Natural Cork,France,"Strawberry, Cranberry, Red Cherry",Red,14.00%,Burgundy,Light & Elegant,2020,"red meat, game, poultry"
35,"Pardon et Fils Fleurie , Côte des Labourons","The acclaimed Pardon & Fils make this on the excellent Côte des Labourons area of Fleurie, one of the finest crus of Beaujolais. It's a cru known for its elegant and fragrant expressions of Gamay, and this wine is a brilliant example. It has notes of red fruits and blackcurrant, a rich, silky palate and a long finish. Try this with duck. In 2022, this wine won a Decanter award",Fleurie,19.4,75CL,Gamay,,Natural Cork,France,"Strawberry, Black Cherry, Raspberry",Red,13.50%,Beaujolais,Soft & Fruity,2022,"first course, red meat, poultry"
36,Baron de Boutisse Saint-Émilion Grand Cru,"This is a great-value Saint-Émilion Grand Cru from the family behind Château Recougne. As you'd expect from a wine of this calibre, it's deeply coloured, with intense aromas of mocha and sweet spice. It's very well structured, with flavours of vanilla and dark fruits. The perfect thing to share over roast beef.",Saint-Émilion,24.24,75CL,Merlot,Cabernet Sauvignon,Natural Cork,France,"Cedar, Black Plum, Blackcurrant",Red,14.50%,Bordeaux,Savoury & Full Bodied,2019,"red meat, game, poultry"
37,Gabriel Allard Côtes du Rhône Rouge,"Les Grandes Serres winery specialises in wines from the picturesque Southern Rhône Valley. With a new and enthusiastic team, modern cellars and careful maturation practises, Les Grandes Serres make internationally renowned wines that showcase the best of the region. Our Rhône buyer tasted this blind – and immediately fell in love. And once you try it, it’s easy to see why. Expect bold, juicy red-and black-fruit flavours with hints of spice. Its rich structure and herby notes make it a fantastic pairing with beef.",Côtes Du Rhône,12.1,75CL,Grenache,"Cinsault, Mourvèdre, Syrah",Natural Cork,France,"Black Pepper, Black Plum, Red Fruit",Red,14.50%,Rhône,Smooth & Mellow,2022,"red meat, game"
38,Alain Jaume 'Roquedon' Organic Lirac,"The Jaume family have been making wine for over 100 years. Based in Châteauneuf-du-Pape, they’re dedicated to showcasing the best of the southern Rhône Valley. Lirac lies just across the river from their famed homeland, so it’s no surprise that the family decided to make wine there too. And this delicious bottling does their reputation proud. It’s made with hand-picked organic grapes, and is partially aged in oak for extra smoothness and complexity. Discover ripe red- and black-fruit flavours with touches of spice, vanilla and liquorice. Its silky tannins make it an ideal pairing for red meats like lamb or venison.",Lirac,23.0,75CL,Grenache,"Syrah, Carignan, Mourvèdre",Natural Cork,France,"Spice, Black Plum, Blackberry, Earth, Raspberry",Red,15.00%,Rhône,Bold & Spicy,2019,"red meat, game"
39,"Château d'Anglès 'Grand Vin' , La Clape","Winemaker Eric Fabre spent eight years as Technical Director at the world-renowned Château Lafite Rothschild – where the wines demand three-figure price tags. In 2001 he decided to take his considerable expertise to the Languedoc and, together with his wife Christine, bought the historic Château d'Anglès. The estate lies in La Clape, an appellation famed for the quality of its reds. And that quality is certainly reflected in this, the château’s grand vin. It’s an expressive, full-bodied blend of Grenache, Syrah and Mourvèdre, which spends at least 10 months maturing in oak to give it extra complexity and a smooth, decadent texture. Expect powerful flavours of ripe red and black fruits, liquorice and tobacco, plus a long, fresh finish that pairs perfectly with juicy meats. Try it with steak or cellar it for up to 20 years.",La Clape,23.0,75CL,Mourvèdre,Syrah,Natural Cork,France,"Spice, Black Fruit, Dried Herbs",Red,14.50%,Languedoc-Roussillon,Bold & Spicy,2020,red meat
40,E. Guigal Côtes du Rhône,"The Rhône Valley is one of the most ancient wine regions in the whole world. The Guigal family are third-generation winemakers that have made a massive impression here. Their name is now synonymous with excellent quality Rhône wines. And it’s all down to their meticulous approach. They pay growers three times the market rate to get the best grapes and even make their own barrels to ensure the ageing process is spot on. This has a higher proportion of Syrah than the usual Southern Rhône blend, making it extra fruity and warmly spicy. It’s a fantastically versatile wine, ideal for buffets with Lyonnaise-style cold meats.",Côtes Du Rhône,18.18,75CL,Grenache,"Syrah, Mourvèdre",Natural Cork,France,"White Pepper, Black Plum, Blackberry, Earth, Raspberry, Spice",Red,15.00%,Rhône,Bold & Spicy,2020,"red meat, game"
